,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
0,2014 Nissan,Altima,2.5 S,"85,425 miles",1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,27 City,38 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/2081154
1,2014 Toyota,Avalon,XLE Touring,"85,408 miles",1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,21 City,31 Hwy,1,"$20,990 ",https://www.carvana.com/vehicle/2081147
2,2011 Toyota,Prius,Three,"21,156 miles",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,51 City,48 Hwy,1,"$21,590 ",https://www.carvana.com/vehicle/2145203
3,2013 Ford,Taurus,Limited,"59,360 miles",1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,"$17,590 ",https://www.carvana.com/vehicle/2110197
4,2014 BMW,2 Series,228i,"73,953 miles",0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,23 City,35 Hwy,1,"$20,590 ",https://www.carvana.com/vehicle/2107194
5,2014 Jeep,Grand Cherokee,Limited,"92,137 miles",1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,21 City,28 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2106529
6,2010 Ford,Mustang,GT Premium,"55,722 miles",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,16 City,24 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2107147
7,2013 Nissan,Pathfinder,SV,"94,755 miles",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20 City,26 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2103429
8,2013 Toyota,Prius,Two,"74,147 miles",1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,51 City,48 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2151600
9,2014 Toyota,Avalon,XLE Touring,"54,328 miles",1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,21 City,31 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/2080426
10,2012 Honda,Fit,Sport,"48,310 miles",1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,27 City,33 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2145260
11,2014 Volkswagen,Jetta,2.0L S,"39,239 miles",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,23 City,29 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2145255
12,2011 Dodge,Charger,R/T,"76,834 miles",1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,16 City,25 Hwy,1,"$20,990 ",https://www.carvana.com/vehicle/2145253
13,2014 Volkswagen,Jetta,2.0L S,"21,034 miles",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,23 City,29 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2080489
14,2011 BMW,3 Series,328i xDrive,"63,635 miles",1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,"$17,590 ",https://www.carvana.com/vehicle/1993945
15,2013 Volkswagen,Jetta,2.0L S,"64,293 miles",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23 City,29 Hwy,1,"$19,590 ",https://www.carvana.com/vehicle/2166393
16,2014 Honda,Accord,LX-S,"98,258 miles",1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,24 City,34 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2151788
17,2013 Kia,Optima,LX,"61,707 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,24 City,35 Hwy,1,"$16,590 ",https://www.carvana.com/vehicle/2106520
18,2014 Toyota,Camry,Hybrid XLE,"74,925 miles",1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,40 City,38 Hwy,1,"$19,990 ",https://www.carvana.com/vehicle/2106506
19,2011 INFINITI,G,G37 Journey,"55,885 miles",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,19 City,27 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2003209
20,2011 Honda,Accord,EX-L,"103,047 miles",1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,23 City,34 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/2106450
21,2013 Porsche,Boxster,S,"23,024 miles",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,21 City,30 Hwy,1,"$54,990 ",https://www.carvana.com/vehicle/2031692
22,2014 Ford,Escape,Titanium,"49,097 miles",1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,23 City,32 Hwy,1,"$20,590 ",https://www.carvana.com/vehicle/1947955
23,2014 Chevrolet,Camaro,LT,"45,542 miles",1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,19 City,30 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/2148707
24,2011 Honda,Civic,LX,"51,210 miles",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25 City,36 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2113974
25,2014 Buick,Encore,Convenience,"78,790 miles",1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,25 City,33 Hwy,1,"$17,590 ",https://www.carvana.com/vehicle/2151892
26,2014 Volkswagen,Jetta,2.0L TDI,"44,145 miles",0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,29 City,37 Hwy,1,"$18,590 ",https://www.carvana.com/vehicle/1636039
27,2012 Audi,TT,Quattro Premium Plus,"31,325 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,23 City,31 Hwy,1,"$27,590 ",https://www.carvana.com/vehicle/2060627
28,2014 Ford,Escape,SE,"49,493 miles",1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,23 City,32 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2106791
29,2014 Nissan,Rogue,S,"28,226 miles",1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,26 City,33 Hwy,1,"$21,590 ",https://www.carvana.com/vehicle/2008883
30,2013 Ford,Escape,S,"84,051 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,22 City,31 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/2106835
31,2013 Honda,Civic,LX,"41,428 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$18,590 ",https://www.carvana.com/vehicle/2076906
32,2014 Honda,Accord,LX,"25,051 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27 City,36 Hwy,1,"$20,990 ",https://www.carvana.com/vehicle/2113103
33,2014 Volkswagen,Jetta,2.0L S,"88,556 miles",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23 City,29 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/1944286
34,2013 Hyundai,Sonata,SE,"92,053 miles",1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,24 City,35 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/2151303
35,2014 Hyundai,Santa Fe,Limited,"79,482 miles",1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,18 City,24 Hwy,1,"$21,590 ",https://www.carvana.com/vehicle/1937745
36,2013 Subaru,BRZ,Premium,"51,433 miles",1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,22 City,30 Hwy,1,"$23,590 ",https://www.carvana.com/vehicle/2140917
37,2013 Toyota,Corolla,LE,"47,555 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,26 City,34 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2005269
38,2013 BMW,3 Series,320i,"55,527 miles",1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,24 City,36 Hwy,1,"$19,990 ",https://www.carvana.com/vehicle/2077085
39,2013 Volkswagen,Jetta,2.0T GLI,"31,963 miles",1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,24 City,32 Hwy,1,"$21,590 ",https://www.carvana.com/vehicle/2151414
40,2012 Volkswagen,Beetle,2.0T Turbo,"22,230 miles",1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,22 City,30 Hwy,1,"$20,590 ",https://www.carvana.com/vehicle/2045489
41,2014 BMW,3 Series,335i,"64,258 miles",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,22 City,32 Hwy,1,"$24,990 ",https://www.carvana.com/vehicle/2045482
42,2012 Honda,Accord,EX,"17,114 miles",1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,23 City,34 Hwy,1,"$20,590 ",https://www.carvana.com/vehicle/2148304
43,2013 Mercedes-Benz,E-Class,E 350,"48,223 miles",0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,20 City,30 Hwy,1,"$24,990 ",https://www.carvana.com/vehicle/2154633
44,2013 Toyota,Corolla,LE,"47,555 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,26 City,34 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2005269
45,2014 MINI,Hardtop,Cooper S,"59,388 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27 City,38 Hwy,1,"$18,590 ",https://www.carvana.com/vehicle/1905005
46,2014 Mazda,MAZDA3,i Touring,"44,353 miles",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,29 City,41 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2076268
47,2014 Nissan,Altima,2.5 S,"32,730 miles",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,27 City,38 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2035270
