,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
0,2012 Mercedes-Benz,SLK-Class,SLK 350,"74,816 miles",1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,20 City,29 Hwy,1,"$24,990 ",https://www.carvana.com/vehicle/2118453
1,2012 Ford,Mustang,base,"100,086 miles",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19 City,31 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2163702
2,2012 Chevrolet,Camaro,LT,"77,124 miles",1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,18 City,29 Hwy,1,"$19,990 ",https://www.carvana.com/vehicle/1988736
3,2012 Audi,A6,3.0T Quattro Premium,"56,642 miles",1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,19 City,28 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2167332
4,2012 Audi,A6,3.0T Quattro Premium,"56,651 miles",1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,19 City,28 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/2126792
5,2012 Audi,TT,Quattro Premium Plus,"31,325 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,23 City,31 Hwy,1,"$27,590 ",https://www.carvana.com/vehicle/2060627
6,2012 Jeep,Grand Cherokee,Laredo,"88,354 miles",1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,14 City,20 Hwy,1,"$19,990 ",https://www.carvana.com/vehicle/2161624
7,2012 Chevrolet,Camaro,LS,"88,815 miles",1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,18 City,29 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2116879
8,2012 Mercedes-Benz,M-Class,ML 350 4MATIC,"45,326 miles",1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,17 City,22 Hwy,1,"$25,990 ",https://www.carvana.com/vehicle/2133682
9,2012 Mercedes-Benz,E-Class,E 350 4MATIC,"56,357 miles",0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,19 City,29 Hwy,1,"$21,590 ",https://www.carvana.com/vehicle/2152796
10,2012 Volkswagen,Beetle,2.5L,"69,145 miles",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22 City,29 Hwy,1,"$18,590 ",https://www.carvana.com/vehicle/1910009
11,2012 Honda,Accord,EX,"17,114 miles",1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,23 City,34 Hwy,1,"$20,590 ",https://www.carvana.com/vehicle/2148304
12,2012 GMC,Terrain,SLE,"86,159 miles",1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,20 City,29 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2068714
13,2012 Audi,A7,Premium Quattro,"77,528 miles",1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,18 City,28 Hwy,1,"$26,990 ",https://www.carvana.com/vehicle/2159751
14,2012 Dodge,Durango,R/T,"93,735 miles",1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,14 City,20 Hwy,1,"$23,590 ",https://www.carvana.com/vehicle/2146181
15,2012 Honda,Accord,LX,"93,914 miles",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23 City,34 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/1883448
16,2012 BMW,3 Series,335is,"44,197 miles",1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,17 City,24 Hwy,1,"$30,990 ",https://www.carvana.com/vehicle/2080823
17,2012 Volkswagen,Jetta,2.5L SEL,"58,549 miles",1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,24 City,31 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2060662
18,2012 Jeep,Wrangler,Unlimited Sport,"80,766 miles",1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,16 City,20 Hwy,1,"$29,990 ",https://www.carvana.com/vehicle/2080667
19,2012 Mercedes-Benz,CLS-Class,CLS 63 AMG,"94,210 miles",1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,16 City,25 Hwy,1,"$36,590 ",https://www.carvana.com/vehicle/2119498
20,2012 Honda,Accord,SE,"63,440 miles",0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,23 City,34 Hwy,1,"$17,590 ",https://www.carvana.com/vehicle/2069772
21,2012 Honda,Accord,SE,"69,836 miles",1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,23 City,34 Hwy,1,"$18,590 ",https://www.carvana.com/vehicle/2072974
22,2012 Mazda,MX-5 Miata,Touring,"16,779 miles",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21 City,28 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/2116384
23,2012 Honda,Accord,SE,"104,202 miles",0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,23 City,34 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/2118439
24,2012 BMW,3 Series,328i,"60,300 miles",1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,23 City,33 Hwy,1,"$18,590 ",https://www.carvana.com/vehicle/2116245
