,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,price,year,model_cat,details_cat,make_cat
0,57543,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,26,37,19990,2016,43,74,28
1,51210,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25,36,16990,2011,92,404,13
2,19216,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,26,38,21990,2016,156,687,10
3,54167,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,24,34,17590,2014,278,16,39
4,11168,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23,29,23990,2021,124,530,10
5,62637,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,21,28,19590,2014,405,422,14
6,21995,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29,38,18990,2016,351,605,28
7,45542,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,19,30,22990,2014,82,391,6
8,85965,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27,31,22990,2018,199,274,13
9,22888,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,25,36,21990,2017,368,629,14
10,41746,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,27,35,15990,2016,153,547,10
11,41428,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28,39,18590,2013,92,404,13
12,55664,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,22,31,17590,2016,21,282,9
13,66346,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,25,30,18990,2019,373,1,18
14,87700,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,39,16990,2014,92,404,13
15,75145,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,29,38,17590,2017,111,391,6
16,49060,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14990,2015,376,98,6
17,51846,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29,37,19590,2019,351,530,28
18,42963,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,29,36,20990,2017,154,274,13
19,73823,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,25,32,19990,2018,328,530,28
20,38971,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,23,35,24990,2016,11,137,3
21,42499,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,15,22,24990,2016,403,387,6
22,24800,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,39,22990,2017,92,405,13
23,50757,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,18,27,24990,2017,262,718,10
24,73378,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,28,39,24590,2018,83,547,38
25,31634,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,29,36,24590,2020,248,391,6
26,3750,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29,34,24990,2019,75,778,24
27,51318,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,18,28,22990,2014,439,778,5
28,28829,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,31,42,24990,2018,92,280,13
29,7250,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29,39,24990,2020,351,605,28
30,62706,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,28,39,23590,2019,43,71,28
31,76249,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,20,29,24590,2016,288,487,2
32,6969,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24,33,24590,2019,268,404,18
33,70822,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,28,39,22990,2018,83,383,38
34,50945,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,36,23990,2017,92,629,13
35,32089,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24,32,24990,2020,268,404,18
36,2850,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,32,40,22990,2021,415,530,28
37,48249,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,19990,2015,453,778,3
38,47156,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,20590,2015,334,654,40
39,92137,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,21,28,23990,2014,196,422,17
40,28332,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,32,42,24590,2019,103,547,38
41,22968,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,38,24990,2021,102,383,38
42,11024,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,38,24990,2021,102,383,38
43,33900,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,21990,2017,392,556,10
44,55786,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,25,32,21990,2018,328,605,28
45,21437,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27,36,17590,2017,324,404,18
46,48509,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31,40,15990,2016,415,542,28
47,45923,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,23,30,21990,2018,138,547,10
48,88279,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,23,34,16990,2012,40,274,13
49,82200,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,21990,2014,74,119,5
50,68547,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,22,29,24990,2019,372,404,18
51,34056,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,25,36,18590,2015,248,387,6
52,33825,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,25,36,19990,2015,248,391,6
53,52724,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31,39,18590,2019,415,605,28
54,90692,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,26,32,21990,2017,158,89,35
55,26232,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,25,32,21990,2017,328,530,28
56,24242,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,40,18990,2017,111,387,6
57,49018,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24,30,21590,2019,272,268,27
58,77832,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,18,27,18990,2014,13,129,7
59,50389,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,21,28,17990,2015,238,690,24
60,47653,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,21990,2013,40,276,13
61,50460,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,19,25,24990,2018,91,420,17
62,68032,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,28,40,20990,2016,239,780,24
63,60467,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,26,38,20990,2016,239,782,24
64,94743,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,21,30,23990,2012,207,361,20
65,63959,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,23990,2015,33,44,2
66,31682,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,39,19990,2015,92,547,13
67,35443,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,23990,2018,322,418,17
68,61867,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28,36,18590,2017,102,383,38
69,80355,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,26,33,20590,2017,326,605,28
70,33860,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,18,27,23990,2018,392,556,10
71,39808,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,19,26,20590,2016,217,615,8
72,48396,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28,40,21990,2018,92,404,13
73,81790,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28,32,17990,2016,213,605,28
74,21769,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,32,42,24990,2019,103,547,38
75,60215,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,23,34,20990,2017,278,11,39
76,49447,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,27,38,17990,2015,43,71,28
77,31963,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,24,32,21590,2013,214,39,39
78,58449,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,28,38,19590,2019,111,391,6
79,50942,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,25,32,23590,2018,326,530,28
80,51335,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,21,31,24990,2015,122,270,20
81,52922,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31,40,13990,2015,19,473,9
82,52304,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24,30,19990,2017,404,391,6
83,34063,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,26,32,23990,2016,153,601,10
84,74371,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31,40,13990,2016,19,282,9
85,30624,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,25,35,22590,2015,83,769,38
86,81012,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,29,38,16590,2017,126,547,14
87,44600,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,31,40,22990,2017,92,274,13
88,64511,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,26,34,22990,2017,40,629,13
89,34827,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,22,26,19990,2017,281,629,17
90,27121,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,26,35,23590,2019,368,547,14
91,48544,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,25,32,23590,2019,328,530,28
92,10029,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,30,39,22990,2014,92,276,13
93,50972,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,20990,2017,281,349,17
94,34904,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,23,30,24990,2017,301,383,38
95,15587,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,27,35,24990,2018,202,247,22
96,20093,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,25,34,24990,2016,53,13,39
97,79126,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,19,25,24990,2014,204,386,38
98,94914,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,19,27,17990,2010,122,270,20
99,80858,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,22,31,19990,2015,91,418,17
100,24190,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,28,40,24590,2016,239,782,24
101,94806,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22,28,16990,2010,301,778,38
102,20584,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,24990,2017,209,391,6
103,64514,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,20,28,22590,2014,304,778,0
104,36740,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,26,33,22990,2018,326,530,28
105,32120,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29,35,16990,2017,351,530,28
