,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
0,2016 Nissan,Altima,2.5 SR,"57,543 miles",1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,26 City,37 Hwy,1,"$19,990",https://www.carvana.com/vehicle/2080019
1,2011 Honda,Civic,LX,"51,210 miles",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25 City,36 Hwy,1,"$16,990",https://www.carvana.com/vehicle/2113974
2,2016 Ford,Focus,Titanium,"19,216 miles",1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,26 City,38 Hwy,1,"$21,990",https://www.carvana.com/vehicle/2168176
3,2014 Volkswagen,Passat,1.8T Wolfsburg Edition,"54,167 miles",1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,24 City,34 Hwy,1,"$17,590",https://www.carvana.com/vehicle/2103642
4,2021 Ford,EcoSport,S,"11,168 miles",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23 City,29 Hwy,1,"$23,990",https://www.carvana.com/vehicle/2028378
5,2014 Hyundai,Tucson,Limited,"62,637 miles",1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,21 City,28 Hwy,1,"$19,590",https://www.carvana.com/vehicle/2114173
6,2016 Nissan,Sentra,SV,"21,995 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29 City,38 Hwy,1,"$18,990",https://www.carvana.com/vehicle/2103654
7,2014 Chevrolet,Camaro,LT,"45,542 miles",1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,19 City,30 Hwy,1,"$22,990",https://www.carvana.com/vehicle/2148707
8,2018 Honda,HR-V,EX,"85,965 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27 City,31 Hwy,1,"$22,990",https://www.carvana.com/vehicle/2114164
9,2017 Hyundai,Sonata,Sport,"22,888 miles",1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,25 City,36 Hwy,1,"$21,990",https://www.carvana.com/vehicle/2076889
10,2016 Ford,Fiesta,SE,"41,746 miles",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,27 City,35 Hwy,1,"$15,990",https://www.carvana.com/vehicle/2103810
11,2013 Honda,Civic,LX,"41,428 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$18,590",https://www.carvana.com/vehicle/2076906
12,2016 FIAT,500X,Easy,"55,664 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,22 City,31 Hwy,1,"$17,590",https://www.carvana.com/vehicle/2008966
13,2019 Kia,Soul,+,"66,346 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,25 City,30 Hwy,1,"$18,990",https://www.carvana.com/vehicle/2107031
14,2014 Honda,Civic,LX,"87,700 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30 City,39 Hwy,1,"$16,990",https://www.carvana.com/vehicle/2028558
15,2017 Chevrolet,Cruze,LT,"75,145 miles",1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,29 City,38 Hwy,1,"$17,590",https://www.carvana.com/vehicle/2076877
16,2015 Chevrolet,Spark EV,2LT,"49,060 miles",1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"$14,990",https://www.carvana.com/vehicle/2148896
17,2019 Nissan,Sentra,S,"51,846 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29 City,37 Hwy,1,"$19,590",https://www.carvana.com/vehicle/2148886
18,2017 Honda,Fit,EX,"42,963 miles",1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,29 City,36 Hwy,1,"$20,990",https://www.carvana.com/vehicle/2148914
19,2018 Nissan,Rogue Sport,S,"73,823 miles",1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,25 City,32 Hwy,1,"$19,990",https://www.carvana.com/vehicle/2080082
