,carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
0,12000,merc,GLS Class,2017,Automatic,12046,Diesel,150.0,37.2,3.0,38000
1,12001,vw,Amarok,2017,Automatic,37683,Diesel,260.0,36.2,3.0,23495
2,12004,merc,GLS Class,2019,Automatic,10000,Diesel,145.0,34.0,3.0,59999
3,12013,skoda,Scala,2019,Manual,3257,Petrol,145.0,49.6,1.0,16713
4,12017,audi,RS6,2015,Semi-Auto,20982,Petrol,325.0,29.4,4.0,46000
5,12019,vauxhall,Combo Life,2020,Semi-Auto,1950,Petrol,145.0,40.4,1.2,24995
6,12020,merc,GL Class,2016,Manual,26809,Diesel,20.0,67.3,2.1,15699
7,12024,merc,CLS Class,2015,Semi-Auto,33087,Diesel,165.0,51.4,3.0,20498
8,12027,toyota,Prius,2019,Automatic,4793,Hybrid,140.0,64.2,1.8,23995
9,12028,vw,Amarok,2020,Automatic,5000,Diesel,265.0,33.6,3.0,34995
10,12029,vw,Amarok,2019,Automatic,12023,Diesel,260.0,28.3,3.0,32888
11,12034,vw,Tiguan Allspace,2019,Semi-Auto,6515,Petrol,145.0,35.8,1.5,29990
12,12040,audi,RS6,2016,Automatic,41854,Petrol,325.0,29.4,4.0,49500
13,12041,merc,S Class,2018,Semi-Auto,39203,Diesel,145.0,52.3,3.0,34999
14,12042,vw,Beetle,2016,Manual,35345,Diesel,30.0,61.4,2.0,10990
15,12043,ford,Edge,2019,Automatic,10,Diesel,145.0,37.2,2.0,33000
16,12046,vw,Amarok,2020,Automatic,10000,Diesel,265.0,27.7,3.0,44980
17,12047,audi,RS3,2015,Automatic,15016,Petrol,300.0,34.9,2.5,28985
18,12048,ford,Fusion,2008,Automatic,66000,Petrol,260.0,37.2,1.6,2750
19,12049,bmw,7 Series,2008,Automatic,70500,Diesel,325.0,35.3,3.0,6480
20,12052,ford,Galaxy,2019,Semi-Auto,3763,Diesel,145.0,54.3,2.0,27500
21,12054,toyota,Prius,2019,Automatic,4605,Hybrid,140.0,61.4,1.8,23490
22,12056,merc,S Class,2015,Semi-Auto,34434,Diesel,200.0,48.7,3.0,26498
23,12060,bmw,6 Series,2017,Semi-Auto,3546,Diesel,145.0,48.7,3.0,32023
24,12064,merc,S Class,2019,Semi-Auto,2500,Diesel,145.0,52.3,3.0,55649
25,12069,hyundi,Santa Fe,2019,Semi-Auto,3920,Diesel,145.0,39.2,2.2,32995
26,12071,bmw,M5,2019,Semi-Auto,2269,Petrol,145.0,24.1,4.4,89900
27,12073,ford,Edge,2019,Automatic,21457,Diesel,145.0,37.2,2.0,30000
28,12076,ford,Edge,2019,Automatic,10,Diesel,145.0,37.2,2.0,30990
29,12081,ford,Grand C-MAX,2017,Manual,16509,Petrol,30.0,54.3,1.0,12000
30,12082,bmw,6 Series,2016,Automatic,37868,Diesel,160.0,51.4,3.0,18737
31,12083,toyota,Prius,2017,Automatic,8943,Hybrid,0.0,94.1,1.8,20995
32,12088,hyundi,IX20,2017,Manual,32663,Diesel,30.0,64.2,1.6,8769
33,12091,toyota,Hilux,2016,Manual,28521,Diesel,260.0,40.4,2.4,19990
34,12095,merc,GL Class,2018,Manual,15202,Petrol,145.0,48.7,1.6,19399
35,12096,merc,X-CLASS,2018,Manual,14243,Diesel,260.0,37.2,2.3,18991
36,12100,bmw,X4,2016,Semi-Auto,13005,Diesel,145.0,54.3,2.0,26995
37,12102,ford,Puma,2020,Manual,1543,Petrol,145.0,50.4,1.0,21495
38,12103,merc,S Class,2018,Semi-Auto,3796,Petrol,145.0,31.7,4.0,104400
39,12116,ford,Edge,2019,Automatic,12607,Diesel,145.0,37.2,2.0,32000
40,12119,bmw,X7,2019,Semi-Auto,5600,Diesel,150.0,33.6,3.0,67400
41,12122,toyota,Avensis,2016,Manual,41257,Diesel,20.0,67.3,1.6,8420
42,12129,ford,Grand C-MAX,2016,Manual,36706,Diesel,30.0,61.4,2.0,12295
43,12133,ford,Edge,2018,Semi-Auto,3420,Diesel,145.0,37.2,2.0,29000
44,12136,toyota,Land Cruiser,2020,Semi-Auto,3390,Diesel,145.0,30.1,2.8,50995
45,12138,skoda,Kamiq,2019,Automatic,3985,Petrol,145.0,44.1,1.5,21995
46,12141,audi,A8,2018,Automatic,10296,Diesel,145.0,50.4,3.0,37000
47,12142,vw,Shuttle,2018,Manual,9289,Diesel,145.0,46.3,2.0,21999
48,12151,vw,CC,2015,Manual,36602,Diesel,30.0,62.8,2.0,11292
49,12153,vw,Scirocco,2017,Manual,20491,Diesel,20.0,55.4,2.0,14881
50,12155,bmw,M2,2019,Automatic,2689,Petrol,145.0,29.1,3.0,43480
51,12158,ford,Puma,2019,Manual,2233,Petrol,145.0,51.4,1.0,18990
52,12160,hyundi,I800,2017,Automatic,41469,Diesel,145.0,33.6,2.5,13500
53,12166,toyota,Hilux,2020,Automatic,1259,Diesel,265.0,2.8,2.4,39257
54,12167,vw,Arteon,2018,Semi-Auto,23000,Diesel,145.0,55.4,2.0,22490
55,12173,audi,A7,2017,Semi-Auto,56460,Diesel,160.0,52.3,3.0,21500
56,12179,ford,Galaxy,2016,Manual,16407,Diesel,125.0,56.5,2.0,17000
57,12180,skoda,Kamiq,2020,Automatic,228,Petrol,145.0,44.1,1.5,18990
58,12181,hyundi,I40,2019,Manual,10,Diesel,145.0,52.3,1.6,16500
59,12182,audi,A7,2011,Semi-Auto,72000,Petrol,300.0,34.4,3.0,12950
60,12183,skoda,Yeti,2013,Semi-Auto,38000,Petrol,165.0,44.1,1.2,8495
61,12184,hyundi,IX35,2013,Manual,25892,Diesel,145.0,48.7,1.7,8799
62,12186,bmw,X4,2020,Automatic,5000,Diesel,145.0,40.9,3.0,44495
63,12187,ford,Edge,2017,Manual,19726,Diesel,160.0,48.7,2.0,20479
64,12191,merc,V Class,2018,Automatic,3067,Diesel,145.0,44.8,2.2,42134
65,12193,ford,Mustang,2016,Automatic,18500,Petrol,570.0,23.5,5.0,28490
66,12196,merc,GL Class,2016,Automatic,16489,Diesel,125.0,56.5,2.1,19699
67,12199,ford,Grand C-MAX,2017,Manual,31976,Diesel,30.0,61.4,2.0,13299
68,12201,bmw,Z4,2019,Automatic,2756,Petrol,145.0,33.2,3.0,40000
69,12203,ford,Edge,2017,Semi-Auto,36000,Diesel,160.0,48.7,2.0,18490
70,12208,skoda,Kamiq,2019,Semi-Auto,2200,Petrol,145.0,44.1,1.5,22001
71,12210,vauxhall,Combo Life,2019,Manual,12000,Diesel,145.0,53.3,1.5,18299
72,12211,ford,Puma,2020,Manual,3000,Petrol,145.0,50.4,1.0,22975
73,12219,ford,Edge,2017,Manual,38778,Diesel,160.0,48.7,2.0,17295
74,12220,skoda,Kamiq,2019,Semi-Auto,4750,Petrol,145.0,45.6,1.0,19495
