,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
0,2015 BMW,X1,sDrive28i,"57,805 miles",1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,23 City,34 Hwy,1,"$22,590",https://www.carvana.com/vehicle/1876386
1,2016 BMW,3 Series,320i xDrive,"38,971 miles",1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,23 City,35 Hwy,1,"$24,990",https://www.carvana.com/vehicle/2103792
2,2015 BMW,3 Series,320i xDrive,"64,286 miles",1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,23 City,35 Hwy,1,"$22,590",https://www.carvana.com/vehicle/2114531
3,2013 BMW,3 Series,320i,"55,527 miles",1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,24 City,36 Hwy,1,"$19,990",https://www.carvana.com/vehicle/2077085
4,2011 INFINITI,G,G37x,"47,082 miles",1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,18 City,25 Hwy,1,"$22,990",https://www.carvana.com/vehicle/2110876
5,2011 Mercedes-Benz,E-Class,E 350,"83,900 miles",1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,17 City,25 Hwy,1,"$23,990",https://www.carvana.com/vehicle/2144447
6,2021 Nissan,Sentra,S,"8,043 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29 City,39 Hwy,1,"$23,990",https://www.carvana.com/vehicle/2056376
7,2014 BMW,3 Series,335i,"64,258 miles",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,22 City,32 Hwy,1,"$24,990",https://www.carvana.com/vehicle/2045482
8,2018 Honda,Civic,LX,"18,196 miles",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28 City,40 Hwy,1,"$23,590",https://www.carvana.com/vehicle/2151212
9,2019 Nissan,Altima,2.5 SR,"59,722 miles",1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,27 City,37 Hwy,1,"$24,590",https://www.carvana.com/vehicle/2151675
10,2016 Dodge,Charger,SE,"69,378 miles",1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,19 City,31 Hwy,1,"$22,990",https://www.carvana.com/vehicle/2042574
11,2019 Nissan,Altima,2.5 SV,"45,940 miles",1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$24,990",https://www.carvana.com/vehicle/2056749
12,2014 BMW,4 Series,428i,"60,211 miles",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,23 City,35 Hwy,1,"$24,990",https://www.carvana.com/vehicle/2121897
13,2017 Dodge,Charger,SXT,"79,000 miles",1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,19 City,30 Hwy,1,"$24,590",https://www.carvana.com/vehicle/2154713
14,2014 Chevrolet,Impala,LS,"84,017 miles",1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,21 City,31 Hwy,1,"$17,990",https://www.carvana.com/vehicle/2110898
15,2018 Honda,Civic,EX-T,"32,025 miles",1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,31 City,40 Hwy,1,"$23,590",https://www.carvana.com/vehicle/2109549
16,2016 GMC,Acadia,SLE-1,"65,805 miles",1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,15 City,22 Hwy,1,"$23,990",https://www.carvana.com/vehicle/2076836
17,2017 Mitsubishi,Lancer,ES,"52,478 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27 City,34 Hwy,1,"$17,990",https://www.carvana.com/vehicle/2145237
18,2011 BMW,3 Series,328i,"28,806 miles",1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,"$24,990",https://www.carvana.com/vehicle/2077247
19,2017 Honda,Civic,LX,"78,191 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30 City,39 Hwy,1,"$19,590",https://www.carvana.com/vehicle/2148387
20,2019 Toyota,Camry,LE,"47,040 miles",1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$24,990",https://www.carvana.com/vehicle/2082898
21,2019 Jeep,Compass,Sport,"26,289 miles",1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,22 City,31 Hwy,1,"$24,990",https://www.carvana.com/vehicle/2148792
22,2012 Volkswagen,Beetle,2.0T Turbo,"57,652 miles",1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,21 City,30 Hwy,1,"$16,990",https://www.carvana.com/vehicle/2056230
23,2015 Nissan,Altima,2.5 S,"41,673 miles",1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,27 City,38 Hwy,1,"$18,990",https://www.carvana.com/vehicle/2124163
24,2016 Nissan,Versa,S,"4,889 miles",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26 City,35 Hwy,1,"$17,990",https://www.carvana.com/vehicle/2124388
25,2019 Mitsubishi,Outlander Sport,ES,"25,068 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24 City,30 Hwy,1,"$22,590",https://www.carvana.com/vehicle/2094406
26,2015 Volvo,S60,T5 Platinum (2015.5),"70,431 miles",1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,25 City,36 Hwy,1,"$19,990",https://www.carvana.com/vehicle/2012026
27,2015 Ford,Focus,SE,"43,621 miles",1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,26 City,36 Hwy,1,"$18,990",https://www.carvana.com/vehicle/2116640
28,2019 Toyota,Corolla,SE,"32,694 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27 City,35 Hwy,1,"$23,590",https://www.carvana.com/vehicle/2124181
29,2018 Kia,Optima,LX,"62,578 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24 City,34 Hwy,1,"$19,590",https://www.carvana.com/vehicle/2052818
30,2017 Dodge,Grand Caravan Passenger,GT,"96,917 miles",1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,17 City,25 Hwy,1,"$19,990",https://www.carvana.com/vehicle/2127411
31,2016 Volkswagen,Golf,TSI S Hatchback,"50,718 miles",0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,25 City,36 Hwy,1,"$20,590",https://www.carvana.com/vehicle/2124182
32,2015 Chevrolet,Malibu,LS,"63,699 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,25 City,36 Hwy,1,"$16,990",https://www.carvana.com/vehicle/2048914
33,2016 Acura,TLX,3.5,"99,933 miles",1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,21 City,34 Hwy,1,"$22,590",https://www.carvana.com/vehicle/2124394
34,2017 Chevrolet,Volt,LT,"72,883 miles",1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"$19,990",https://www.carvana.com/vehicle/2124391
35,2016 Nissan,Versa,S,"30,943 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27 City,36 Hwy,1,"$15,590",https://www.carvana.com/vehicle/2056197
36,2015 Ford,Edge,SE,"91,639 miles",1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,20 City,30 Hwy,1,"$17,990",https://www.carvana.com/vehicle/1950412
