,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
0,2013 Chevrolet,Camaro,LS,"11,432 miles",1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,17 City,28 Hwy,1,"$23,590 ",https://www.carvana.com/vehicle/2137268
1,2013 Chevrolet,Cruze,LS,"33,835 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,22 City,35 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2051454
2,2013 Cadillac,CTS,3.6 Premium Collection,"34,478 miles",0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,18 City,27 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2171163
3,2013 Nissan,Pathfinder,SV,"94,755 miles",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20 City,26 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2103429
4,2013 Audi,A5,2.0T Premium Plus,"59,624 miles",1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,20 City,30 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/2085576
5,2013 Audi,A5,2.0T Premium Plus,"59,767 miles",1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,20 City,30 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/2104841
6,2013 MINI,Hardtop,Cooper,"9,185 miles",1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,28 City,36 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/2174260
7,2013 Porsche,Boxster,S,"23,024 miles",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,21 City,30 Hwy,1,"$54,990 ",https://www.carvana.com/vehicle/2031692
8,2013 BMW,3 Series,328i,"31,859 miles",1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,23 City,33 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2126886
9,2013 Chevrolet,Camaro,LT,"98,525 miles",1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,17 City,28 Hwy,1,"$20,990 ",https://www.carvana.com/vehicle/2096924
10,2013 Scion,FR-S,base,"94,068 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25 City,34 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2108462
11,2013 Toyota,Corolla,LE,"47,555 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,26 City,34 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2005269
