,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,price,year,make
0,Altima,2.5 SR,57543,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,26,37,19990,2016,Nissan
1,Civic,LX,51210,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25,36,16990,2011,Honda
2,Focus,Titanium,19216,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,26,38,21990,2016,Ford
3,Passat,1.8T Wolfsburg Edition,54167,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,24,34,17590,2014,Volkswagen
4,EcoSport,S,11168,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23,29,23990,2021,Ford
5,Tucson,Limited,62637,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,21,28,19590,2014,Hyundai
6,Sentra,SV,21995,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,29,38,18990,2016,Nissan
7,Camaro,LT,45542,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,19,30,22990,2014,Chevrolet
8,HR-V,EX,85965,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27,31,22990,2018,Honda
9,Sonata,Sport,22888,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,25,36,21990,2017,Hyundai
10,Fiesta,SE,41746,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,27,35,15990,2016,Ford
11,Civic,LX,41428,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28,39,18590,2013,Honda
12,500X,Easy,55664,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,22,31,17590,2016,FIAT
13,Soul,+,66346,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,25,30,18990,2019,Kia
14,Civic,LX,87700,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,39,16990,2014,Honda
